zone_id,segments_total,count_Nat,count_Pref,count_Muni,count_Other,len_Nat_m,len_Pref_m,len_Muni_m,len_Other_m,length_total_m,score,juusinkukaku_kansen,juusinkukaku_sidouseikatudou,kyoukaikukaku_kansen_left,kyoukaikukaku_kansen_right,kyoukaikukaku_kansen_bottom,kyoukaikukaku_kansen_top,kyoukaikukaku_sidouseikatudou_left,kyoukaikukaku_sidouseikatudou_right,kyoukaikukaku_sidouseikatudou_bottom,kyoukaikukaku_sidouseikatudou_top
513243742,249,24,93,127,5,2596.75,3855.01,3554.92,49.57,10056.25,28.77,5371,5931,5465,2717,5332,5619,5373,5955,5328,5485
513243743,289,18,59,130,82,1229.7,2928.65,3576.61,1229.74,8964.7,45.63,5590,6005,5691,5553,6087,12609,5545,5870,5493,12460
513243744,226,8,58,159,1,1438.03,2677.93,4177.96,6.5,8300.42,40.35,5592,5581,5553,2973,5619,5727,5870,2963,5485,12845
513243751,214,18,110,81,5,934.83,4994.28,2571.13,60.46,8560.7,24.73,2720,2724,2717,2784,2665,2866,5955,3338,2640,2853
513243752,186,15,104,63,4,1030.11,4531.79,2573.99,55.32,8191.21,25.81,2710,2734,2784,2731,2654,2868,3338,13805,2647,2867
513243753,207,23,78,104,2,1423.49,3397.03,2911.62,27.99,7760.13,30.38,2938,3307,2973,2955,2866,3055,2963,2929,2853,3052
513243754,169,12,67,87,3,1032.65,2889.6,3962.76,60.23,7945.24,40.66,2927,2958,2955,13854,2868,3171,2929,13866,2867,3051
513243761,86,12,45,28,1,1210.63,2053.6,1112.05,11.94,4388.22,20.55,13788,13962,2731,13778,5075,13836,13805,13754,13734,
513243762,180,18,79,81,2,1573.27,3503.28,2535.84,22.21,7634.6,26.86,13756,13998,13778,16564,13722,13845,13754,16555,5074,13933
513243763,76,28,22,26,0,2457.07,1095.02,1103.6,0,4655.69,18.96,13855,13944,13854,13874,13836,13880,13866,,,4152
513243764,46,23,20,3,0,2635.69,1154.36,102.87,0,3892.92,2.11,13850,13926,13874,16604,13845,13884,,,13933,
513243771,185,25,116,43,1,1343.43,4891.31,1448.65,8.43,7691.82,15.18,16852,17010,16564,16945,tran_c8a35baa-289a-4bc0-823d-d6f7b22387eb,17036,16555,16942,,16875
513243772,171,40,82,48,1,2499.75,3366.03,1700.83,24.53,7591.14,18.25,16739,16959,16945,17001,16769,16864,16942,16804,16995,17019
513243773,96,25,64,6,1,1819.03,3224.18,294.66,3.89,5341.76,4.49,16914,16907,16604,16960,17036,12366,,,16875,
513243774,118,33,32,44,9,2832.29,1846.3,1224.26,102.12,6004.97,18.01,16732,16841,16960,16956,16864,16797,,,17019,16688
513243781,12,3,3,5,1,214.49,325.13,202.06,3.49,745.17,22.16,4038,3680,17001,,4038,,16804,4122,3680,
513243782,2,0,0,2,0,0,0,101.35,0,101.35,80,,3825,,,,,,,3879,
513243783,6,2,3,1,0,151.13,143.72,47.97,0,342.82,11.19,4670,4660,16956,,,4670,,,,4660
513243784,2,0,1,1,0,0,65.04,56.14,0,121.18,37.06,4557,4700,,,,4557,,,,4700
513243791,1,1,0,0,0,131.14,0,0,0,131.14,0,3741,,,,3741,,,,,
513243832,5,0,1,4,0,0,93.37,162.83,0,256.2,50.84,12409,12852,,12409,,,,12414,,
513243834,3,0,0,2,1,0,0,88.33,30.18,118.51,85.09,,12554,,,,,,12713,,
513243841,250,15,55,115,65,1193.72,3069.36,3634.55,791.31,8688.94,42.57,12468,12891,12409,12559,12609,12529,12414,12460,12419,12536
513243842,100,13,27,53,7,2019.6,1899.24,1741.32,65.7,5725.86,25.48,12639,12450,12559,12612,5727,12631,12458,12477,12845,12530
513243843,115,10,10,82,13,969.9,738.2,2963.75,125.19,4797.04,52.04,12586,12668,,12559,12529,,12713,,12536,
513243844,88,14,25,40,9,1707.58,1622.76,1252.49,112.73,4695.56,23.74,12581,12808,12559,12612,12631,12601,,12694,12530,12600
513243851,11,2,3,6,0,607.7,182.47,373.16,0,1163.33,25.66,3047,3052,12612,3055,3050,,12477,,3052,
513243852,7,1,2,4,0,133.54,33.53,297.03,0,464.1,51.2,3192,3051,3055,,3171,,,4181,3051,
513243853,6,1,2,3,0,474.16,145.79,115.34,0,735.29,12.55,12701,14054,12601,,12612,,12694,,,14054
513243854,7,4,1,2,0,177.87,39.43,94.67,0,311.97,24.28,4205,14457,,4318,,14452,,4317,,14457
513243861,63,19,16,28,0,2403.32,733.39,973.41,0,4110.12,18.95,4159,4306,,4188,13880,4187,4181,,4152,
513243862,29,17,8,3,1,2236.16,463.32,59.93,5.56,2764.97,1.94,4386,4173,4188,4164,13884,4185,,,,4402
513243863,98,17,33,48,0,1520.21,1805.36,1509.5,0,4835.07,24.98,4295,4219,4318,4272,4187,17050,4317,,,4286
513243864,107,26,42,27,12,2691.39,1883.41,903.5,161.73,5640.03,15.68,4366,4203,4272,4190,4185,4287,,4248,4402,12021
513243871,52,22,21,9,0,2410.08,1117.16,426.45,0,3953.69,8.63,12252,12400,4164,12377,12366,12271,,12221,,
513243872,167,30,55,65,17,3171.34,2620.11,1856.53,192.06,7840.04,21.39,12317,12246,12377,4709,16797,12398,12221,4560,16688,12389
513243873,238,13,95,117,13,1075.66,3997.21,3730.2,173.58,8976.65,35.18,12111,12112,4209,11923,12271,7174,4248,,,7194
513243874,168,13,26,87,42,1189.21,1086.87,2741.67,418.95,5436.7,48.05,11884,12176,11923,11849,12398,7195,,12082,12389,12029
513243881,148,16,70,53,9,1519.79,4050.78,1807.98,93.33,7471.88,20.61,4556,4778,4623,4659,4670,4549,4560,4649,4660,4570
513243882,107,8,19,61,19,624.48,1164.42,1737.21,252.86,3778.97,43.47,4655,4603,4659,4771,4557,4711,4649,4597,4700,4777
513243883,86,28,12,28,18,1788.85,675.01,974.35,173.76,3611.97,26.39,4425,4712,11849,4422,4549,11282,12082,4412,4570,10464
513243884,95,15,15,60,5,940.66,765.98,1534.03,65.94,3306.61,39.11,4435,4427,4422,,4711,4471,,,4777,4470
513243891,2,1,0,1,0,70.86,0,9.59,0,80.45,9.54,4771,4597,4771,,,,4597,,,
513243942,3,0,2,1,0,0,175.25,57.26,0,232.51,19.7,12602,12600,,,12601,,,,12600,
513243944,2,0,1,1,0,0,82.07,16.67,0,98.74,13.51,14252,14243,,14252,,,,14243,,
513243951,85,29,20,22,14,2677,1577.68,648.62,184.84,5088.14,13.83,14079,14391,,14239,,14376,,,14054,
513243952,136,14,40,76,6,1448.84,2029.46,2442.28,73.53,5994.11,33.82,14094,14458,14239,14116,14452,14154,,14432,14457,14356
513243953,104,18,32,46,8,1534.51,1760.56,1101.25,137.28,4533.6,22.46,14278,14334,14252,14175,14376,14235,14243,14180,,
513243954,130,17,43,62,8,1524.28,2536.04,1649.68,150.35,5860.35,25.09,14353,14162,14175,14242,14216,14231,14180,14144,14356,14315
513243961,214,23,88,98,5,1202.01,3677.02,3390.4,69.21,8338.64,33.36,17083,17097,14116,17094,17050,17188,14432,17629,4286,17198
513243962,131,26,51,48,6,1738.91,2325.56,1522.68,66.8,5653.95,22.73,17656,17660,17073,7907,4287,17208,17629,,17047,17206
513243963,250,11,101,128,10,671.74,3893.97,4148.79,112.91,8827.41,38.88,17250,17270,14242,17317,17188,17371,14144,17225,17198,17376
513243964,138,7,48,79,4,659.22,2377.52,2270.63,60.53,5367.9,34.97,17481,17479,17439,,17208,17380,17200,,17206,17375
513243971,266,32,53,136,45,2247.18,2070.49,4085.03,625.46,9028.16,43.13,7757,7756,7907,7202,7174,7796,,7294,12030,7406
513243972,273,21,50,166,36,1027.6,2475.84,5999.21,578.9,10081.55,53.35,7310,7267,7202,10570,7195,7409,7194,7243,12029,7436
513243973,135,17,30,52,36,1842.76,1434.71,1624.63,670.68,5572.78,35.36,7485,7608,,7519,7796,7516,,7420,7406,
513243974,184,26,30,103,25,1523.54,1407.13,3053.1,357.79,6341.56,44.16,7681,7466,7519,7689,7409,7513,7420,10702,7436,
513243981,369,10,52,187,120,678.79,2685.11,5456.42,1526.33,10346.65,56.94,11034,11170,10570,10659,11282,10658,7243,10509,10464,10657
513243982,153,10,36,86,21,649.39,1720.36,2638.47,216.45,5224.67,44.54,10556,11243,10501,,4471,10692,10509,,4470,10786
513243983,297,13,39,157,88,762.43,2182.26,4204.75,1267.52,8416.96,55.02,10719,10690,7689,10672,10658,10785,10702,10712,10657,10781
513243984,106,12,35,55,4,997.76,2027.24,1527.74,17.15,4569.89,27.12,10783,10920,10659,,10692,10918,10712,,10786,
513253051,3,1,2,0,0,82.54,245.51,0,0,328.05,0,14233,,,,14234,,,,,
513253052,3,0,1,2,0,0,97.97,47.75,0,145.72,26.21,14231,14315,,,14231,,,,14315,
513253061,7,1,3,3,0,108.45,235.03,131.14,0,474.62,22.1,17373,17376,,,17371,,,,17376,
513253062,3,0,2,1,0,0,371.97,46.39,0,418.36,8.87,17468,17375,,,17380,,,,17375,
513253071,4,4,0,0,0,287.38,0,0,0,287.38,0,7519,,,,7519,,,,,
